ticker,price_date,market,weighted_momentum,rs_score,momentum_rank,close_price
^GSPC,2026-06-24,KR,,0,,
^GSPC,2026-06-25,KR,0,0,999,7365.46
000080,2026-06-01,KR,-0.112227805695142,-0.94407531119274,311,15900
000080,2026-06-02,KR,-0.0834724540901502,-0.901684132469902,289,16470
000080,2026-06-03,KR,-0.0834724540901502,-0.901684132469902,289,16470
000080,2026-06-04,KR,-0.07421875,-0.835688454322012,279,16590
000080,2026-06-05,KR,-0.10648918469218,-0.776773173844306,280,16110
000080,2026-06-06,KR,-0.10648918469218,-0.776773173844306,280,16110
000080,2026-06-07,KR,-0.10648918469218,-0.776773173844306,280,16110
000080,2026-06-08,KR,-0.118967452300786,-0.643308939857635,263,15700
000080,2026-06-09,KR,-0.122437673130194,-0.757345487923845,269,15840
000080,2026-06-10,KR,-0.119601328903654,-0.66884212111699,256,15900
000080,2026-06-11,KR,-0.0856983861992209,-0.654303058505412,225,16430
000080,2026-06-12,KR,-0.0927262631871183,-0.690338778797215,241,16340
000080,2026-06-13,KR,-0.0927262631871183,-0.690338778797215,241,16340
000080,2026-06-14,KR,-0.0927262631871183,-0.690338778797215,241,16340
000080,2026-06-15,KR,-0.104026845637584,-0.756762103749949,251,16020
000080,2026-06-16,KR,-0.0929178470254958,-0.764280068715704,241,16010
000080,2026-06-17,KR,-0.0954545454545455,-0.792167635670381,250,15920
000080,2026-06-18,KR,-0.100172711571675,-0.931373579508326,253,15630
000080,2026-06-22,KR,-0.113109524796228,,203,
000080,2026-06-23,KR,-0.127241072982649,,170,
000080,2026-06-24,KR,-0.138301295860697,-0.836923147091401,163,
000080,2026-06-25,KR,-0.172394366197183,-0.836923147091401,230,14690
000100,2026-06-01,KR,-0.225094236066957,-1.05694174156456,366,83400
000100,2026-06-02,KR,-0.240642597117852,-1.0588542754976,366,81500
000100,2026-06-03,KR,-0.240642597117852,-1.0588542754976,366,81500
000100,2026-06-04,KR,-0.23959209479562,-1.00106179911763,368,80100
000100,2026-06-05,KR,-0.274549909702525,-0.944833898854651,367,77500
000100,2026-06-06,KR,-0.274549909702525,-0.944833898854651,367,77500
000100,2026-06-07,KR,-0.274549909702525,-0.944833898854651,367,77500
000100,2026-06-08,KR,-0.291963670303861,-0.81630515786071,363,72400
000100,2026-06-09,KR,-0.264226450186164,-0.899134264979815,359,76700
000100,2026-06-10,KR,-0.285488570186439,-0.834729362399775,360,76900
000100,2026-06-11,KR,-0.295344338197825,-0.863949010504016,362,76400
000100,2026-06-12,KR,-0.283363468580222,-0.880975984190319,354,77200
000100,2026-06-13,KR,-0.283363468580222,-0.880975984190319,354,77200
000100,2026-06-14,KR,-0.283363468580222,-0.880975984190319,354,77200
000100,2026-06-15,KR,-0.276929827551888,-0.929665085664253,344,78900
000100,2026-06-16,KR,-0.28568418044986,-0.957046402140069,342,78300
000100,2026-06-17,KR,-0.263686380664833,-0.960399470880668,337,79100
000100,2026-06-18,KR,-0.24840278383151,-1.07960365176816,335,78200
000100,2026-06-22,KR,-0.200676371061937,,328,
000100,2026-06-23,KR,-0.259419045407929,,354,
000100,2026-06-24,KR,-0.228777199384014,-0.970963883220941,280,
000100,2026-06-25,KR,-0.306435102326723,-0.970963883220941,329,72300
000150,2026-06-01,KR,1.65255620749145,0.82070870199385,18,2203000
000150,2026-06-02,KR,1.32613225609397,0.507920577714214,24,1918000
000150,2026-06-03,KR,1.32613225609397,0.507920577714214,24,1918000
000150,2026-06-04,KR,1.16991978831227,0.408450083990257,32,1800000
000150,2026-06-05,KR,1.03647066151519,0.366186672363066,35,1740000
000150,2026-06-06,KR,1.03647066151519,0.366186672363066,35,1740000
000150,2026-06-07,KR,1.03647066151519,0.366186672363066,35,1740000
000150,2026-06-08,KR,0.920742870310188,0.396401382753339,32,1578000
000150,2026-06-09,KR,0.747291778636252,0.112383963842601,43,1566000
000150,2026-06-10,KR,0.681435505181512,0.132194712968177,43,1584000
000150,2026-06-11,KR,0.82898096040975,0.260376288103559,37,1621000
000150,2026-06-12,KR,1.11784817555255,0.520235659942449,29,1896000
000150,2026-06-13,KR,1.11784817555255,0.520235659942449,29,1896000
000150,2026-06-14,KR,1.11784817555255,0.520235659942449,29,1896000
000150,2026-06-15,KR,0.89212990653144,0.239394648419075,35,1709000
000150,2026-06-16,KR,0.91914500881214,0.247782787121932,33,1699000
000150,2026-06-17,KR,0.916340345018907,0.219627254803072,32,1624000
000150,2026-06-18,KR,0.972172477369925,0.140971609433274,31,1634000
000150,2026-06-22,KR,0.236119408841606,,42,
000150,2026-06-23,KR,0.156104029940468,,43,
000150,2026-06-24,KR,0.14875863378784,0.209232603707022,35,
000150,2026-06-25,KR,0.87376138460124,0.209232603707022,27,1545000
000210,2026-06-01,KR,0.411444141689373,-0.420403363808224,92,51800
000210,2026-06-02,KR,0.388203017832647,-0.430008660547105,93,50600
000210,2026-06-03,KR,0.388203017832647,-0.430008660547105,93,50600
